0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Name,,Icon,ActionCategory,,Animation{Start},VFX,Animation{End},ActionTimeline{Hit},,ClassJob,BehaviourType,ClassJobLevel,IsRoleAction,Range,CanTargetSelf,CanTargetParty,CanTargetFriendly,CanTargetHostile,,,TargetArea,,,,CanTargetDead,,CastType,EffectRange,XAxisModifier,,PrimaryCost{Type},PrimaryCost{Value},SecondaryCost{Type},SecondaryCost{Value},Action{Combo},PreservesCombo,Cast<100ms>,,Recast<100ms>,CooldownGroup,AdditionalCooldownGroup,MaxCharges,AttackType,Aspect,ActionProcStatus,,Status{GainSelf},UnlockLink,ClassJobCategory,,,AffectsPosition,Omen,,IsPvP,,,,,,,,,,,,IsPlayerAction
str,bit&01,Image,ActionCategory,byte,ActionCastTimeline,ActionCastVFX,ActionTimeline,ActionTimeline,byte,ClassJob,byte,byte,bit&02,sbyte,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,sbyte,bit&08,bit&10,byte,byte,byte,bit&20,byte,uint16,byte,Row,Action,bit&40,uint16,byte,uint16,byte,byte,byte,AttackType,byte,ActionProcStatus,byte,Status,Row,ClassJobCategory,byte,bit&80,bit&01,Omen,uint16,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,byte,bit&04,bit&08,bit&10
先锋剑,FALSE,ui/icon/000000/000158.tex,战技,0,,,ws/bt_swd_sld/wsh001,normal_hit/normal_hit,0,剑术师,0,1,FALSE,-1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,1,0,0,TRUE,0,0,0,,,FALSE,0,0,25,58,0,0,,7,,1,,,剑术师 骑士,2,FALSE,FALSE,,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE
暴乱剑,FALSE,ui/icon/000000/000156.tex,战技,0,,,ws/bt_swd_sld/ws_s07,normal_hit/normal_hit,0,剑术师,0,4,FALSE,-1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,1,0,0,TRUE,0,0,0,,先锋剑,FALSE,0,0,25,58,0,0,,7,,1,,,剑术师 骑士,2,FALSE,FALSE,,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE
盾牌猛击,FALSE,ui/icon/000000/000154.tex,战技,0,,,ws/bt_swd_sld/ws_s05,normal_hit/normal_hit,0,剑术师,0,10,FALSE,-1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,1,0,0,TRUE,0,0,39,,,FALSE,0,0,25,58,0,0,,7,,1,,,剑术师 骑士,2,FALSE,FALSE,,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE
预警,FALSE,ui/icon/000000/000151.tex,能力,0,,,ability/swd_knight/abl004,normal_hit/normal_hit,0,剑术师,0,38,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,1,0,0,FALSE,0,0,0,,,TRUE,0,0,1200,20,0,0,,0,,2,,,剑术师 骑士,1,FALSE,FALSE,,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE
战逃反应,FALSE,ui/icon/000000/000166.tex,能力,0,,,ability/swd_knight/abl008,normal_hit/normal_hit,0,剑术师,0,2,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,1,0,0,FALSE,0,0,0,,,TRUE,0,0,600,11,0,0,,0,,2,,,剑术师 骑士,1,FALSE,FALSE,,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE
战女神之怒,FALSE,ui/icon/000000/000155.tex,战技,0,,,ws/bt_swd_sld/ws_s02,normal_hit/normal_hit,0,剑术师,0,26,FALSE,-1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,1,0,0,TRUE,0,0,63,,暴乱剑,FALSE,0,0,25,58,0,0,,7,,1,,,剑术师 骑士,2,FALSE,FALSE,,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE
壁垒,FALSE,ui/icon/000000/000167.tex,能力,0,,,ability/swd_knight/abl009,normal_hit/normal_hit,0,骑士,0,52,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,1,0,0,FALSE,0,0,0,,,TRUE,0,0,900,16,0,0,,0,,2,,,骑士,1,FALSE,FALSE,,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE
厄运流转,FALSE,ui/icon/000000/000161.tex,能力,0,,,ws/bt_swd_sld/ws_s03,ws/bt_swd_sld/ws_s03_hit,0,剑术师,0,50,FALSE,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,2,5,0,TRUE,0,0,0,,,TRUE,0,0,300,5,0,0,,7,,1,,,剑术师 骑士,4,FALSE,FALSE,,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE
